,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
0,0,0.00125,0.0009934342488334433,48,0.0038120402980205553,160.77649699999893,3.214159502455728e-05
1,1,0.00125,0.0006847283854008705,48,0.00318389829833823,72.01223699999537,6.593159373690413e-06
2,2,0.00125,0.0011413454672958001,48,0.003138102184494741,264.51925000000483,3.626311897732094e-05
3,3,0.00125,0.0013335924959826245,48,0.003431273907367985,227.7008149999965,1.642141335704516e-05
4,4,0.00125,0.000808899219983764,48,0.003160302851536458,200.68317100000422,3.0425233555877967e-05
5,5,0.00125,0.002667788769622507,48,0.009515695538071925,1924.3335200000001,2.609477203522901e-05
6,6,0.00125,0.0013302449252042782,48,0.004152005571307793,266.86209500000405,2.1629717829903123e-05
7,7,0.00125,0.0013824606459188545,48,0.0043310758952437994,216.13459100000182,4.162908543001819e-06
8,8,0.00125,0.0011497067810088137,48,0.003264857990447543,235.1363379999966,3.02242739996724e-05
9,9,0.00125,0.0010131385666299363,48,0.0032070988753794653,167.32358000000386,4.2233109968326424e-05
10,10,0.00125,0.0011027767762429863,48,0.0031352208541269647,264.77135400000407,3.7549058891166475e-05
11,11,0.00125,0.0009086061892485571,48,0.003178939602030379,125.10498899999948,2.407244186209983e-05
12,12,0.00125,0.0015572067154480198,48,0.005141092579821663,1017.1383029999997,2.32065798092585e-05
13,13,0.00125,0.0009002519901697217,48,0.003156650633637568,289.40125299999636,2.6560280524362626e-05
14,14,0.00125,0.002884839987914877,48,0.010422788048653847,2442.6419160000005,3.910494673640145e-05
15,15,0.00125,0.0012803316967318068,48,0.0038568711607121706,350.52693899999576,2.1955021330927844e-05
16,16,0.00125,0.00043327064198637414,48,0.0031838980036704243,77.0515080000041,0.0011295276381427985
17,17,0.00125,0.0023654561474684655,48,0.008241682773913545,1384.4524450000026,3.0546522141811343e-05
18,18,0.00125,0.0013341201766651116,48,0.003881957217289865,317.98607600000105,3.0257651734275484e-05
19,19,0.00125,0.0015348219280056153,48,0.004578109717842525,810.9571339999966,3.9744255549584584e-05
20,20,0.00125,0.000989087819951531,48,0.0031617080649967155,177.22314699999697,4.063264219835328e-05
21,21,0.00125,0.00116634619023278,48,0.003170852719664441,300.4926010000054,1.8645747064592102e-05
22,22,0.00125,0.0006188675856547208,48,0.0031839194017906306,57.51809199999843,3.0225946118872035e-05
23,23,0.00125,0.0011318594755892137,48,0.0031784090759272472,138.02273799999966,3.5238708076370436e-05
24,24,0.00125,0.0010647372005754675,48,0.0038286443898100375,286.0301249999975,3.7951559855037936e-05
25,25,0.00125,0.0011427802005795908,48,0.003164091951766458,290.4707239999989,4.434674866296401e-05
26,26,0.00125,0.0009562425384895072,48,0.0031493304922790826,269.050774000003,2.9114364270162783e-05
27,27,0.00125,0.001082179522381888,48,0.0037231404066123477,164.3125480000017,6.32693304138671e-05
28,28,0.00125,0.0010240541893357224,48,0.003173984252468223,192.88043200000538,3.183212774515559e-05
29,29,0.00125,0.0018190940058018582,48,0.0066269679553215485,766.1430169999949,5.751362658385988e-06
30,30,0.00125,0.0005539108748815159,48,0.003183974782874785,48.60601200000383,3.754086608473638e-05
31,31,0.00125,0.0008833754194043467,48,0.003167550480340285,152.26150899998902,3.2556358608448456e-05
32,32,0.00125,0.0010356417375798025,48,0.003243353823761763,199.37693299999228,1.658823937145688e-05
33,33,0.00125,0.0011718484352925029,48,0.004070498064251166,214.68173299999034,7.060937600379648e-06
34,34,0.00125,0.0008762348781210486,48,0.0031828183974257507,38.38956899999175,1.91501365259423e-05
35,35,0.00125,0.0009383926665587021,48,0.00317221344888928,151.8851389999909,3.5528058521089006e-05
36,36,0.00125,0.0019425654393929951,48,0.007001424046307249,1062.781553000008,1.9464155087248716e-05
37,37,0.00125,0.0012777843503863305,48,0.0038766761335714897,262.38126799999736,3.303737915990069e-05
38,38,0.00125,0.0014139089349866187,48,0.004856510061225346,320.6582699999999,2.712129777479559e-05
39,39,0.00125,0.001134185040795522,48,0.0031727921868695153,263.61992899999314,6.817343244577716e-06
40,40,0.00125,0.0014298217753904443,48,0.004780319313952008,254.72405499999877,3.263972597403035e-05
41,41,0.00125,0.0037853957466067356,48,0.014672734956422712,3571.9220639999985,3.2360102387205914e-05
42,42,0.00125,0.0008380447548016629,48,0.003171887330093855,112.9619379999931,4.021296179636829e-05
43,43,0.00125,0.0007117188769550561,48,0.003172553287739457,183.7796159999998,3.2624396800752674e-05
44,44,0.00125,0.0023984889848052715,48,0.007889305558280463,1740.668141999995,2.582697936447624e-05
45,45,0.00125,0.0030279799456824734,48,0.012096090493036046,1255.7200370000064,4.0617651995697985e-06
